X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1276544.99997556,225523.640613481,2242,Old Fire Station #23,722 18th Ave,722 18th Ave,2254502235,125,106050,1976/12/21 00:00:00+00,,Firestation23cDON.jpg,DesRptFireStation23.pdf
1281980.24993181,228095.953054145,2243,Charles Bussell House (Eman/Jacobsen),1630 36th Ave,1630 36th Ave,7424700070,126,108212,1979/05/14 00:00:00+00,,BussellRes1DON.jpg,charles-brussell-house-designation-nomination.pdf
1270150.62496905,228966.515617475,2244,Old Norway Hall,2015 Boren Ave,2015 Boren Ave,0660001490,80,124375,,,OldNorwayHall1DON.jpg, 
1273677.66679947,204679.367997646,2245,Rainier Cold Storage/Ice/Seattle Brewing/Malting Co. Bldg,5622-6010 Airport Way S,6000-6004 Airport Way S,0001800023,186,116973,1993/12/13 00:00:00+00,,RainierColdStorage6DON.jpg,DesRptRainierColdStorageSeattleBrewing.pdf
1260442.05186656,236232.969916552,2246,Fourteenth Ave W Group,2014 14th Ave W,2000-2016 14th Ave W, ,384,108211,1979/05/14 00:00:00+00,,14thAveWestRes2DON.jpg,DesRpt_14th_Ave_W_Group.pdf  
1288732.87487797,188832.640504807,2247,Old Fire Station #33,10235 62nd Ave S,10235 62nd Ave S,2520900050,192,106053,1976/12/21 00:00:00+00,,Firestation33bDON.jpg,DesRptFireStation33.pdf
1259101.50008573,215392.50011465,2248,Hainsworth/Gordon House,2657 37th Ave SW,2657 37th Ave SW,9345400210,174,109734,1981/03/02 00:00:00+00,,HainsworthHouse1DON.jpg,hainsworth-gordon-house-designation.pdf
1257021.12498139,216157.531064898,2249,Admiral Theater,2343 California Ave SW,2343 California Ave SW,6379500055,173,116972,1993/12/13 00:00:00+00,,Admiral4DON.jpg,admiral-theater-designation.pdf
1256092.62486988,200967.609345064,2250,Gatewood School,4320 SW Myrtle St,4320 SW Myrtle St,4315700020,189,0,,,GatewoodSchool2DON.jpg,gatewood-school-designation.pdf
1276162.37508464,222870.09375523,2251,Langston Hughes Cultural Arts Center,104 17th Ave S,104 17th Ave S,9826700795,159,110354,1981/12/28 00:00:00+00,,LangstonHughesCenter2DON.jpg,langston-hughes-cultural-designation-nomination.pdf
1280572.25012314,218657.390566483,2252,Thompson/LaTurner House,3119 S Day St,3119 S Day St,6909200597,169,107613,1978/08/14 00:00:00+00,,ThompsonHouse2DON.jpg,thompson-laturner-house-designation-nomination.pdf
1276332.75007197,219836.843588144,2253,Black Manufacturing Building,1130 Rainier Ave S,1130 Rainier Ave S,7132300370,166,113601,1987/09/08 00:00:00+00,,BlackMfgBldg5DON.jpg,black-manufacturing-designation.pdf
1275279.37488213,222774.125115141,2254,Victorian House,1414 S Washington St,1414 S Washington St,3319500060,158,108225,1979/05/12 00:00:00+00,,VictorianHouse2DON.jpg,DesRptVictorianHouse.pdf
1275350.12506872,222296.531254053,2255,Seattle Buddhist Church,1427 S Main St,1427 S Main St,3320000165,160,106100,1976/12/27 00:00:00+00,,SeaBuddhistChurch1DON.jpg,seattle-first-buddhist-church-nomination-data-sheet.pdf
1272024.49983022,222328.59385398,2256,Old Main St School,307 6th Ave S,307 6th Ave S,5247801606,157,106147,1977/01/17 00:00:00+00,,OldMainStSchool1DON.jpg,old-main-st-data-sheet.pdf
1272622.24994706,221703.484211802,2257,Chinese Community Bulletin Board,511 7th Ave S,511 7th Ave S,5247802380,161,106072,1976/12/21 00:00:00+00,,ChinBullBoard3DON.jpg,chinese-community-bulletin-nomination-data-sheet.pdf
1272486.37489071,221706.437617972,2258,Eastern Hotel,506 Maynard Ave S,506-1/2 Maynard Ave S,5247802350,162,107750,1978/10/23 00:00:00+00,,EasternHotel3DON.jpg,eastern-hotel-designation-nomination.pdf
1274505.25011806,219730.187305391,2259,Pacific Medical Center/Former U.S. Marine Hospital,1200 12th Ave S,1200 12th Ave S,2829600110,165,116055,1992/01/27 00:00:00+00,,PacMed3DON.jpg,pacific-medical-center-designation.pdf
1270305.12498814,223572.062495649,2260,Hoge Building,705 2nd Ave,705 2nd Ave,0939000230,155,111889,1984/09/10 00:00:00+00,,HogeBldg1DON.jpg,hoge-building-designation.pdf
1270074.12512206,221308.437429726,2261,Flatiron Building,551 1st Ave S,551 1st Ave S,7666206935,164,106141,1977/01/10 00:00:00+00,,FlatironBldg3DON.jpg,triangle-hotel-flatiron-building-data-sheet.pdf
1280149.49998438,213570.984400719,2262,Franklin High School,3013 S Mount Baker Blvd,3013 S Mount Baker Blvd,5700000455,180,0,,,FranklinHS2DON.jpg,DesRptFranklinHigh.pdf 
1281805.49995323,214230.734393552,2263,Kraus/Andersson House,2812 Mount St Helens Pl S,2812 Mount St Helens Pl S,5700003530,178,110492,1982/03/22 00:00:00+00,,KrausAndersson2DON.jpg,kraus-andersson-designation-nomination.pdf
1274737.87498088,204965.937306389,2264,Cleveland High School,5511 15th Ave S,5511 15th Ave S,7549802085,184,121275,2003/10/26 00:00:00+00,,ClevelandHS1DON.jpg,cleveland-high-nomination.pdf
1274318.24983589,203261.547014385,2265,Georgetown City Hall / Fire Station #27,6202 13th Ave S,6202 13th Ave S,7006200345,187,111302,1983/09/12 00:00:00+00,,GTCityHall2DON.jpg,georgetown-old-city-hall-nomination.pdf
1261381.75011839,237556.937412977,2266,Cotterill House,2501 Westview Dr W,2501 Westview Dr W,7871500475,36,107751,1978/10/23 00:00:00+00,,CotterillHouse2DON.jpg,cotterill-house-designation-data-sheet.pdf
1261795.99994606,237434.296910226,2267,Handschy/Kistler House,2433 9th Ave W,2433 9th Ave W,7871500040,37,111024,1983/02/22 00:00:00+00,,HandschyKistler2DON.jpg,handschy-kistler-house-designation.pdf
1264604.37490672,233483.218854398,2268,Ballard/Howe House,22 W Highland Dr,22 W Highland Dr,1731800590,58,108226,1979/05/14 00:00:00+00,,BallardHoweHouse1DON.jpg,ballard-howe-house-designation.pdf
1273974.37486747,254142.48429431,2269,Ramsing House,540 NE 80th St,540 NE 80th St,2878601495,2,113261,1986/12/29 00:00:00+00,,RamsingHouse2DON.jpg,ramsing-house-designation-nomination.pdf
1274433.74993297,246668.156395227,2270,Church of the Blessed Sacrament and Rectory,5041 9th Ave NE,5041 9th Ave NE,2862100750,13,109732,1981/03/02 00:00:00+00,,Blessed1DON.jpg,DesRptChurchofBlessedSacrament.pdf
